filename,avg_r,avg_g,avg_b
bgr_Emoji (42).png,139.09500122070312,110.83946228027344,113.2578125
enh_Emoji (42).png,126.38414001464844,124.107177734375,118.43218994140625
gray_Emoji (42).png,113.83918762207031,113.83918762207031,113.83918762207031
Emoji (43).png,87.20079040527344,88.68438720703125,95.07148742675781
bgr_Emoji (43).png,144.28932189941406,95.07148742675781,88.68438720703125
enh_Emoji (43).png,99.79780578613281,97.76148986816406,100.96762084960938
gray_Emoji (43).png,88.96258544921875,88.96258544921875,88.96258544921875
Emoji (44).png,101.98257446289062,103.75286865234375,96.88687133789062
bgr_Emoji (44).png,141.42100524902344,96.88687133789062,103.75286865234375
enh_Emoji (44).png,110.26889038085938,111.51260375976562,108.14006042480469
gray_Emoji (44).png,102.42652893066406,102.42652893066406,102.42652893066406
Emoji (45).png,99.30836486816406,101.04771423339844,94.06050109863281
bgr_Emoji (45).png,145.84686279296875,94.06050109863281,101.04771423339844
enh_Emoji (45).png,104.7325439453125,106.24200439453125,104.95753479003906
gray_Emoji (45).png,99.71064758300781,99.71064758300781,99.71064758300781
Emoji (46).png,98.696044921875,74.74795532226562,48.46278381347656
bgr_Emoji (46).png,129.25616455078125,48.46278381347656,74.74795532226562
enh_Emoji (46).png,109.41355895996094,90.37062072753906,46.311187744140625
gray_Emoji (46).png,78.92111206054688,78.92111206054688,78.92111206054688
Emoji (47).png,73.84437561035156,50.868988037109375,34.64337158203125
bgr_Emoji (47).png,116.30166625976562,34.64337158203125,50.868988037109375
enh_Emoji (47).png,88.25238037109375,66.94850158691406,39.63838195800781
gray_Emoji (47).png,55.885467529296875,55.885467529296875,55.885467529296875
Emoji (48).png,106.67181396484375,98.37980651855469,89.94862365722656
bgr_Emoji (48).png,153.23678588867188,89.94862365722656,98.37980651855469
enh_Emoji (48).png,111.22221374511719,108.54556274414062,110.27545166015625
gray_Emoji (48).png,99.85090637207031,99.85090637207031,99.85090637207031
Emoji (49).png,124.07991027832031,109.67347717285156,82.94435119628906
bgr_Emoji (49).png,145.97984313964844,82.94435119628906,109.67347717285156
enh_Emoji (49).png,126.653076171875,120.38951110839844,89.9473876953125
